iter	MultiClass
0	2.166862736
1	2.046028843
2	1.941534501
3	1.844088772
4	1.760348659
5	1.681069033
6	1.612865343
7	1.556696369
8	1.491704967
9	1.439989792
10	1.396826266
11	1.339379021
12	1.30023254
13	1.262123466
14	1.22153763
15	1.180057387
16	1.141569145
17	1.106380215
18	1.07010125
19	1.037869879
20	1.012387516
21	0.9825294349
22	0.9529277729
23	0.9207901458
24	0.9005762586
25	0.8776649876
26	0.8510567784
27	0.8326539066
28	0.8062940764
29	0.7878411273
30	0.7720109223
31	0.7487342529
32	0.7272506716
33	0.7120984529
34	0.6914984637
35	0.6767682088
36	0.6593223067
37	0.6422855518
38	0.6280273384
39	0.6122944292
40	0.6007912387
41	0.5872045128
42	0.5740622515
43	0.5607677337
44	0.5503185418
45	0.5346316231
46	0.5247400322
47	0.5134800281
48	0.5016543947
49	0.4887055903
50	0.4764762077
51	0.4649709785
52	0.4562398296
53	0.4489065464
54	0.4377393798
55	0.428911139
56	0.420721468
57	0.4136047222
58	0.4070524786
59	0.3995903806
60	0.3933181543
61	0.3866185615
62	0.3773360089
63	0.3716877084
64	0.3641503286
65	0.3556368355
66	0.3502636744
67	0.3441932507
68	0.3380610998
69	0.3329640742
70	0.3276954268
71	0.3217373552
72	0.3160740188
73	0.3090929453
74	0.3027767125
75	0.2982534583
76	0.2945262848
77	0.2903705079
78	0.2862561405
79	0.2813479107
80	0.2769627517
81	0.2732657941
82	0.2699850289
83	0.2645967562
84	0.2608984839
85	0.2574946542
86	0.2525513495
87	0.2478331563
88	0.2441250044
89	0.2404744127
90	0.2366691602
91	0.2335856856
92	0.2301896925
93	0.2265217383
94	0.2238717534
95	0.2197129163
96	0.216109041
97	0.2120740981
98	0.2092786977
99	0.2069037079
100	0.2044768952
101	0.2020914965
102	0.1995398151
103	0.1958256951
104	0.1926349186
105	0.1903196733
106	0.1875401495
107	0.184255119
108	0.1817921429
109	0.1793462712
110	0.176748971
111	0.1740254308
112	0.171961474
113	0.1699437395
114	0.168280552
115	0.1664686594
116	0.1647255151
117	0.163059823
118	0.1612500602
119	0.1595111331
120	0.157257195
121	0.155634116
122	0.1536733154
123	0.1522738763
124	0.1504896785
125	0.1485554522
126	0.1471092488
127	0.1453430908
128	0.1439366035
129	0.1421014583
130	0.1408443875
131	0.1390721612
132	0.1374392513
133	0.136207106
134	0.1350786358
135	0.1335515751
136	0.132367304
137	0.1311192674
138	0.1298346911
139	0.1283877222
140	0.1268527706
141	0.1256045449
142	0.1242238592
143	0.1228440126
144	0.1218165075
145	0.1201222917
146	0.1191708474
147	0.1176974841
148	0.116549196
149	0.1149405149
150	0.114044857
151	0.1126801688
152	0.1116995469
153	0.1106425352
154	0.1098206501
155	0.1084887177
156	0.1076358317
157	0.1066379142
158	0.1055878187
159	0.1047567247
160	0.1038109135
161	0.1026674257
162	0.1017961742
163	0.1007366122
164	0.09988571316
165	0.09890603337
166	0.09817427682
167	0.09737793797
168	0.09644294375
169	0.09561076043
170	0.09471688847
171	0.09382487081
172	0.09318751932
173	0.09230908834
174	0.09136525305
175	0.09047643036
176	0.08972257594
177	0.08890329884
178	0.08829533114
179	0.08733619224
180	0.08679790265
181	0.0859042244
182	0.08488434876
183	0.08414396959
184	0.08345397957
185	0.08257742798
186	0.08201494229
187	0.08127896102
188	0.08061315244
189	0.07988670929
190	0.07924960664
191	0.07871587414
192	0.07813267915
193	0.07743191781
194	0.07692409041
195	0.07618781182
196	0.07538844851
197	0.07490074688
198	0.07439301525
199	0.07378432829
200	0.07302058568
201	0.07226491502
202	0.07169537583
203	0.07126560699
204	0.0705324955
205	0.06997629266
206	0.06958163628
207	0.06903628605
208	0.06850715233
209	0.06799176003
210	0.06747361178
211	0.06681454318
212	0.06643763128
213	0.06600034721
214	0.06555318009
215	0.06496095389
216	0.06456232113
217	0.06415011245
218	0.06378019453
219	0.06337081716
220	0.06283305911
221	0.06240934563
222	0.06207886257
223	0.06160223756
224	0.06122521345
225	0.06071729555
226	0.06035009447
227	0.05985313872
228	0.05955536327
229	0.05912510097
230	0.05875471116
231	0.05837401985
232	0.05797552602
233	0.05745322705
234	0.05707548048
235	0.05667392827
236	0.05629603984
237	0.05588563461
238	0.05554587722
239	0.05522195937
240	0.05487903865
241	0.05458433931
242	0.05422973209
243	0.05395672853
244	0.05361317737
245	0.05321823843
246	0.05289646113
247	0.0526032468
248	0.0522735129
249	0.05183195203
250	0.05138198462
251	0.05105773826
252	0.05069873614
253	0.05040394971
254	0.05008781213
255	0.04981319608
256	0.04953396274
257	0.04928975293
258	0.04903271039
259	0.04879019543
260	0.04844329575
261	0.04819641568
262	0.04794915326
263	0.04761132948
264	0.04736631202
265	0.04707290215
266	0.04682143375
267	0.04658932931
268	0.04636154428
269	0.04609884725
270	0.04589137878
271	0.04562918627
272	0.04541866759
273	0.04516989446
274	0.04494476163
275	0.04472945831
276	0.0443905557
277	0.04413837551
278	0.04389182343
279	0.04361522314
280	0.04336435356
281	0.04311132392
282	0.04278316528
283	0.04253534152
284	0.0422477392
285	0.04206675855
286	0.04186207686
287	0.04168911734
288	0.04151104547
289	0.04129411362
290	0.04110336828
291	0.04092749584
292	0.04075076613
293	0.04057898246
294	0.04040031709
295	0.04019311716
296	0.03999319535
297	0.03979744543
298	0.03959273987
299	0.03940974892
300	0.03913229342
301	0.03898934676
302	0.03880141429
303	0.03855049994
304	0.03839899326
305	0.03815059646
306	0.03799503155
307	0.03780385576
308	0.03757275796
309	0.03737637413
310	0.03724349737
311	0.03709628632
312	0.0369727347
313	0.0367948867
314	0.03661848215
315	0.03645186367
316	0.03628593631
317	0.03605603223
318	0.03590699286
319	0.03574729761
320	0.03558706104
321	0.03540062635
322	0.03527371515
323	0.03513846726
324	0.03499262458
325	0.0348539967
326	0.03473371126
327	0.03457155976
328	0.03442311796
329	0.0342859943
330	0.03406074675
331	0.03384436938
332	0.03370475526
333	0.03355941245
334	0.0333763006
335	0.03325273747
336	0.03311067878
337	0.03298813521
338	0.03284801302
339	0.03271582929
340	0.03258257737
341	0.03243804784
342	0.03228859467
343	0.03217291559
344	0.03205937869
345	0.03192836734
346	0.03181289111
347	0.03169573603
348	0.03153366101
349	0.0314054025
350	0.03128190751
351	0.03115130794
352	0.03104184187
353	0.0309336441
354	0.03077862225
355	0.0306140952
356	0.03049826261
357	0.03032026886
358	0.03016915826
359	0.03006664653
360	0.02990474978
361	0.02977550054
362	0.02966333578
363	0.02955980248
364	0.02939773388
365	0.02929048091
366	0.02916233435
367	0.02905928591
368	0.02894649088
369	0.02883181519
370	0.02873995949
371	0.02858601383
372	0.02849051304
373	0.02838596792
374	0.02823335776
375	0.02811454719
376	0.02802464607
377	0.02792440602
378	0.02779504959
379	0.0276646103
380	0.02750964871
381	0.02741909181
382	0.02733314335
383	0.02724238526
384	0.02714208431
385	0.0270445818
386	0.02693053588
387	0.02680046119
388	0.02669357156
389	0.02660049892
390	0.02650129334
391	0.02641021567
392	0.02631589538
393	0.02618873295
394	0.02610898
395	0.02601479114
396	0.02593544493
397	0.02585119389
398	0.02575577524
399	0.02565805525
400	0.02558055818
401	0.02548420914
402	0.02538573332
403	0.02527593485
404	0.02520370432
405	0.02507719406
406	0.02499626253
407	0.02491831065
408	0.02480446812
409	0.02469267489
410	0.02460819141
411	0.02453976435
412	0.02445915576
413	0.02437679211
414	0.02429120274
415	0.02419965125
416	0.02413004589
417	0.02406088343
418	0.02398568457
419	0.02386856386
420	0.02379465751
421	0.02372278855
422	0.02362700646
423	0.02353233772
424	0.02345392721
425	0.02338031479
426	0.02330836929
427	0.02323092749
428	0.02316268947
