iter	Passed	Remaining
475	2311	2544
476	2315	2538
477	2319	2533
478	2324	2528
479	2329	2523
480	2333	2517
481	2338	2512
482	2342	2507
483	2347	2502
484	2352	2498
485	2358	2494
486	2364	2490
487	2369	2485
488	2374	2480
489	2378	2475
490	2383	2470
491	2387	2464
492	2391	2459
493	2396	2455
494	2403	2452
495	2408	2447
496	2413	2442
497	2417	2437
498	2422	2432
499	2428	2428
500	2432	2423
501	2439	2419
502	2444	2415
503	2448	2409
504	2452	2404
505	2460	2401
506	2465	2397
507	2471	2393
508	2476	2388
509	2481	2384
510	2488	2381
511	2493	2376
512	2497	2371
513	2502	2365
514	2508	2362
515	2513	2357
516	2519	2353
517	2523	2348
518	2528	2343
519	2533	2338
520	2538	2333
521	2543	2328
522	2547	2323
523	2552	2318
524	2556	2313
525	2561	2307
526	2568	2305
527	2572	2300
528	2577	2295
529	2584	2291
530	2589	2286
531	2593	2281
532	2598	2276
533	2602	2271
534	2607	2266
535	2612	2261
536	2616	2256
537	2621	2250
538	2627	2246
539	2632	2242
540	2638	2238
541	2642	2232
542	2648	2229
543	2653	2224
544	2658	2219
545	2663	2214
546	2668	2209
547	2673	2204
548	2677	2199
549	2682	2194
550	2686	2189
551	2690	2183
552	2695	2178
553	2701	2175
554	2706	2169
555	2710	2164
556	2715	2159
557	2719	2154
558	2724	2149
559	2728	2144
560	2734	2139
561	2740	2135
562	2745	2130
563	2750	2126
564	2755	2121
565	2760	2116
566	2766	2112
567	2771	2107
568	2776	2102
569	2780	2097
570	2786	2093
571	2790	2087
572	2794	2082
573	2800	2078
574	2805	2073
575	2811	2069
576	2816	2064
577	2820	2059
578	2825	2054
579	2829	2049
580	2834	2043
581	2838	2038
582	2843	2033
583	2847	2028
584	2852	2023
585	2857	2018
586	2861	2013
587	2868	2009
588	2873	2004
589	2879	2001
590	2884	1996
591	2889	1991
592	2894	1986
593	2899	1981
594	2904	1977
595	2909	1972
596	2913	1967
597	2919	1962
598	2923	1957
599	2928	1952
600	2934	1948
601	2939	1943
602	2944	1938
603	2948	1933
604	2953	1928
605	2958	1923
606	2963	1918
607	2967	1913
608	2972	1908
609	2978	1904
610	2982	1898
611	2987	1893
612	2991	1888
613	2995	1883
614	3000	1878
615	3005	1873
616	3010	1868
617	3016	1864
618	3021	1859
619	3026	1854
620	3030	1849
621	3035	1844
622	3039	1839
623	3045	1835
624	3050	1830
625	3054	1824
626	3059	1819
627	3063	1814
628	3068	1809
629	3072	1804
630	3077	1799
631	3081	1794
632	3086	1789
633	3090	1784
634	3096	1780
635	3101	1775
636	3106	1770
637	3111	1765
638	3116	1760
639	3121	1755
640	3126	1751
641	3131	1746
642	3136	1741
643	3140	1736
644	3146	1731
645	3150	1726
646	3155	1721
647	3159	1716
648	3164	1711
649	3169	1706
650	3174	1701
651	3178	1696
652	3183	1691
653	3187	1686
654	3192	1681
655	3198	1677
656	3202	1672
657	3207	1666
658	3212	1662
659	3216	1657
660	3221	1652
661	3226	1647
662	3231	1642
663	3235	1637
664	3240	1632
665	3245	1627
666	3249	1622
667	3254	1617
668	3261	1613
669	3266	1608
670	3270	1603
671	3276	1599
672	3281	1594
673	3285	1589
674	3290	1584
675	3294	1579
676	3299	1573
677	3303	1568
678	3307	1563
679	3312	1558
680	3316	1553
681	3322	1549
682	3328	1544
683	3333	1539
684	3337	1534
685	3343	1530
686	3348	1525
687	3352	1520
688	3357	1515
689	3362	1510
690	3367	1505
691	3372	1500
692	3378	1496
693	3382	1491
694	3388	1487
695	3393	1482
696	3397	1477
697	3402	1472
698	3407	1467
699	3412	1462
700	3418	1458
701	3423	1453
702	3428	1448
703	3433	1443
704	3438	1438
705	3442	1433
706	3447	1428
707	3452	1423
708	3457	1419
709	3462	1414
710	3468	1409
711	3474	1405
712	3479	1400
713	3483	1395
714	3487	1390
715	3492	1385
716	3496	1380
717	3501	1375
718	3506	1370
719	3512	1366
720	3518	1361
721	3523	1356
722	3529	1352
723	3533	1347
724	3538	1342
725	3542	1337
726	3547	1332
727	3553	1327
728	3557	1322
729	3562	1317
730	3566	1312
731	3571	1307
732	3575	1302
733	3580	1297
734	3584	1292
735	3588	1287
736	3594	1282
737	3598	1277
738	3602	1272
739	3607	1267
740	3612	1262
741	3616	1257
742	3621	1252
743	3625	1247
744	3630	1242
745	3636	1238
746	3641	1233
747	3646	1228
748	3651	1223
749	3656	1218
750	3660	1213
751	3666	1209
752	3672	1204
753	3677	1199
754	3681	1194
755	3686	1189
756	3691	1184
757	3697	1180
758	3701	1175
759	3706	1170
760	3710	1165
761	3717	1161
762	3722	1156
763	3727	1151
764	3731	1146
765	3736	1141
766	3740	1136
767	3745	1131
768	3750	1126
769	3755	1121
770	3759	1116
771	3765	1112
772	3771	1107
773	3775	1102
774	3780	1097
775	3784	1092
776	3791	1088
777	3795	1083
778	3800	1078
779	3804	1073
780	3810	1068
781	3816	1063
782	3820	1058
783	3824	1053
784	3829	1048
785	3835	1044
786	3839	1039
787	3844	1034
788	3851	1029
789	3857	1025
790	3863	1020
791	3868	1015
792	3874	1011
793	3879	1006
794	3884	1001
795	3889	996
796	3893	991
797	3898	986
798	3904	982
799	3910	977
800	3916	972
801	3921	968
802	3925	963
803	3931	958
804	3935	953
805	3942	948
806	3947	944
807	3952	939
808	3956	934
809	3961	929
810	3966	924
811	3971	919
812	3975	914
813	3980	909
814	3984	904
815	3989	899
816	3993	894
817	3998	889
818	4004	884
819	4008	879
820	4013	875
821	4018	870
822	4022	865
823	4027	860
824	4032	855
825	4037	850
826	4041	845
827	4046	840
828	4051	835
829	4056	830
830	4062	826
831	4067	821
832	4071	816
833	4076	811
834	4080	806
835	4084	801
836	4089	796
837	4094	791
838	4099	786
839	4103	781
840	4109	776
841	4114	771
842	4118	767
843	4123	762
844	4128	757
845	4132	752
846	4137	747
847	4142	742
848	4146	737
849	4151	732
850	4156	727
851	4160	722
852	4167	718
853	4172	713
854	4178	708
855	4182	703
856	4187	698
857	4191	693
858	4195	688
859	4202	684
860	4206	679
861	4211	674
862	4215	669
863	4220	664
864	4225	659
865	4230	654
866	4234	649
867	4239	644
868	4243	639
869	4250	635
870	4255	630
871	4259	625
872	4264	620
873	4268	615
874	4273	610
875	4278	605
876	4283	600
877	4287	595
878	4293	590
879	4297	586
880	4303	581
881	4309	576
882	4314	571
883	4322	567
884	4328	562
885	4334	557
886	4338	552
887	4344	547
888	4350	543
889	4354	538
890	4359	533
891	4364	528
892	4368	523
893	4373	518
894	4377	513
895	4382	508
896	4387	503
897	4392	498
898	4397	494
899	4401	489
900	4406	484
901	4410	479
902	4416	474
903	4420	469
904	4425	464
905	4431	459
906	4438	455
907	4443	450
908	4449	445
909	4455	440
910	4460	435
911	4464	430
912	4468	425
913	4473	420
914	4479	416
915	4484	411
916	4488	406
917	4493	401
918	4497	396
919	4502	391
920	4506	386
921	4511	381
922	4515	376
923	4520	371
924	4524	366
925	4530	362
926	4535	357
927	4539	352
928	4543	347
929	4548	342
930	4552	337
931	4557	332
932	4562	327
933	4566	322
934	4571	317
935	4575	312
936	4580	307
937	4584	303
938	4590	298
939	4595	293
940	4601	288
941	4605	283
942	4610	278
943	4614	273
944	4618	268
945	4623	263
946	4628	259
947	4632	254
948	4637	249
949	4641	244
950	4646	239
951	4653	234
952	4657	229
953	4664	224
954	4668	219
955	4673	215
956	4678	210
957	4682	205
958	4687	200
959	4692	195
960	4697	190
961	4703	185
962	4707	180
963	4711	175
964	4716	171
965	4720	166
966	4725	161
967	4731	156
968	4735	151
969	4739	146
970	4744	141
971	4749	136
972	4754	131
973	4758	127
974	4763	122
975	4768	117
976	4772	112
977	4777	107
978	4782	102
979	4786	97
980	4790	92
981	4795	87
982	4800	83
983	4804	78
984	4809	73
985	4814	68
986	4818	63
987	4823	58
988	4828	53
989	4832	48
990	4837	43
991	4842	39
992	4846	34
993	4851	29
994	4858	24
995	4863	19
996	4867	14
997	4872	9
998	4876	4
999	4880	0
